,prompt,summary
1420,"The ratio of white chocolate to dark chocolate sold at a candy shop was 4:3. If there were 20 bars of white chocolate sold, how many bars of dark chocolate were sold?","var1 = find(white chocolate bars sold), var2 = divide(var1, 4), var3 = multiply(var2, 3), CALL, return(var3)"
1677,"Joe, Susie's brother, collected all 94 trading cards scattered in his room and placed them in boxes. If a full box can hold a maximum of 8 cards, how many cards are there in the unfilled box?","var1 = find(trading cards), var2 = find(cards per box), var3 = divide(var1, var2), CALL, var4 = find(remainder), return(var4)"
117,"A grocery store had 36 apples, 80 bottles of regular soda and 54 bottles of diet soda.How many more bottles than apple did they have?","var1 = find(apples), var2 = add(80, 54), CALL, var3 = subtract(var2, var1), CALL, return(var3)"
59,The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys.How much money did they make from selling the t-shirts?,"var1 = find(jerseys), var2 = find(T-shirts), var3 = multiply(var1, 5), CALL, var4 = multiply(var2, 215), CALL, return(var4)"
1504,Emily is making bead necklaces for her friends. She has twenty-eight beads and each necklace takes seven beads. How many necklaces can Emily make?,"var1 = find(total beads), var2 = find(beads per necklace), var3 = divide(var1, var2), CALL, return(var3)"
1954,Lisa invited the entire third grade to her party. There are 48 students altogether. 23 of the students are boys and 25 are girls. 9 students will not be able to go to the party. How many students will be there?,"var1 = find(students in 3rd grade), var2 = find(students not going), var3 = subtract(var1, var2), return(var3)"
1612,Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?,"var1 = find(Mrs. Sheridan has fish), var2 = find(sister gave her more fish), var3 = add(var1, var2), CALL, return(var3)"
1423,"Wendy earned 5 points for each bag of cans she recycled. If she had 11 bags, but didn't recycle 2 of them, how many points would she have earned?","var1 = find(bags), var2 = find(not recycled bags), var1 = subtract(var1, var2), CALL, var2 = find(points per bag), var3 = multiply(var1, var2), CALL, return(var3)"
991,For Halloween Faye scored 47 pieces of candy. She ate 25 pieces the first night and then her sister gave her 40 more pieces. How many pieces of candy does Faye have now?,"var1 = find(starting candy), var2 = find(eaten candy), var1 = sub(var1, var2), CALL, var2 = find(sister candy), var1 = add(var1, var2), CALL, return(var1)"
1511,"Billy was painting a wall in his room. The total area was 8 square feet. If the wall was 2 feet wide, how tall is it?","var1 = find(area), var2 = find(width), var3 = divide(var1, var2), CALL, return(var3)"
323,Every day Ryan spends 7 hours on learning english and some more hours on learning chinese. If he spends 2 hours more on learning english than on learning chineseHow many hours does he spend on learning chinese?,"var1 = find(english hours), var2 = find(hours added), var3 = subtract(var1, var2), CALL, return(var3)"
1063,Camryn practices the trumpet every 11th day and the flute every 3rd day. Camryn practiced both the trumpet and the flute today. How many days until Camryn practices the trumpet and flute again in the same day?,"var1 = find(trumpet practice day), var2 = find(flute practice day), var3 = lcm(var1,var2), CALL, return(var3)"
183,Because of the decision Sofia asked the students to suggest specific types of food. If 144 students suggested adding mashed potatoes 467 suggested adding bacon to the menu and 79 suggested adding tomatoesHow many more students suggested mashed potatoes than those that suggested tomatoes?,"var1 = find(mashed potatoes), var2 = subtract(var1, 79), CALL, return(var2)"
193,Allan brought 2 balloons and Jake brought 3 balloons to the park.How many more balloons did Jake have than Allan in the park?,"var1 = find(Allan balloons), var2 = subtract(3, 2), CALL, return(var2)"
1039,"Billy had 72 Lemon Heads. If Billy gave equal numbers of Lemon Heads to his 6 friends, how many Lemon Heads did each person eat?","var1 = find(Lemon Heads), var2 = find(friends), var3 = divide(var1, var2), CALL, var4 = multiply(var3, var2), CALL, var5 = subtract(var1, var4), CALL, return(var3)"
1390,Debby received twenty-one text messages before noon and another eighteen after noon. How many text messages did Debby receive total?,"var1 = find(before noon messages), var2 = find(after noon messages), var1 = add(var1, var2), CALL, return(var1)"
1076,Jerry walked nine miles on Monday and nine more on Tuesday. How many miles did Jerry walk?,"var1 = find(Monday miles), var2 = find(Tuesday miles), var1 = add(var1, var2), CALL, return(var1)"
593,A mailman gives 2 junk mails to each house in a block. If the mailman has to give 14 pieces of junk mail to each block.How many houses are there in a block?,"var1 = find(junk mails per house), var2 = find(junk mails per block), var3 = divide(var2, var1), CALL, return(var3)"
1580,The Vance family walked over to the post office. They bought 2 rooster stamps and 2 daffodil stamps. How many stamps did they buy in all?,"var1 = find(rooster stamps), var2 = find(daffodil stamps), var3 = add(var1, var2), CALL, return(var3)"
1922,There are 40 boys and some girls on the playground. There are 117 children altogether. How many girls are on the playground?,"var1 = find(boys), var2 = find(total children), var1 = subtract(var2, var1), return(var1)"
997,"Luke had 48 dollars in January. By March he had spent 11 dollars. If he got another 21 dollars from his mom, how much money would he have?","var1 = find(Luke's January dollars), var2 = find(spent dollars), var1 = subtract(var1, var2), CALL, var2 = find(new dollars from mom), var1 = add(var1, var2), CALL, return(var1)"
1425,"Carmen is creating lollipop bouquets using 4 cherry lollipops and 6 orange lollipops. She wants each bouquet to be identical, with no lollipops left over. What is the greatest number of lollipop bouquets Carmen can create?","var1 = find(""cherry lollipops""), var2 = find(""orange lollipops""), var3 = find_gcd(var1, var2), return(var3)"
771,An envelope from the post office is 4 inches wide and 4 inches long. What is the area of the envelope?,"var1 = find(width), var2 = find(length), var3 = multiply(var1, var2), CALL, return(var3)"
2378,"I have 9 pennies, 4 nickels, and 3 dimes. How much money do I have?","var1 = find(pennies), var2 = find(nickels), var1 = add(var1, var2), CALL, var2 = find(dimes), var1 = add(var1, var2), CALL, return(var1)"
518,The grasshopper and the frog had a jumping contest. The frog jumped 39 inches and the grasshopper jumped 17 inches.How much farther did the frog jump than the grasshopper?,"var1 = find(frog jump), var2 = find(grasshopper jump), var3 = subtract(var1, var2), CALL, return(var3)"
915,Anna's stew recipe calls for 3 kilograms of carrots and 6 kilograms of potatoes. Richard's stew recipe requires 4 kilograms of carrots and 5 kilograms of potatoes. Which recipe has a higher ratio of carrots to potatoes?,"var1 = find(""carrots/potatoes ratio in Anna's recipe""), var2 = find(""carrots/potatoes ratio in Richard's recipe""), var1 = compare(var1, var2), CALL, return(var1)"
296,"19 red peaches, 11 yellow peaches and 12 green peaches are in the basket.How many more red peaches than yellow peaches are in the basket?","var1 = find(red peaches), var2 = find(yellow peaches), var3 = subtract(var1, var2), CALL, return(var3)"
800,"Edward's dad bought 459 centimeters of string. If he cut the string into 9 equal pieces, what would be the length of each piece?","var1 = find(centimeters of string), var2 = find(pieces), var3 = divide(var1, var2), CALL, return(var3)"
2281,There are 32 students in the class. The teacher divided them into 5 equal groups. How many students are left?,"var1 = find(students), var2 = find(groups), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, return(var5)"
1833,"Bobby ate twenty-six pieces of candy. Then, he ate seventeen more. How many pieces of candy did Bobby eat?","var1 = find(ate candy), var2 = find(more candy), var3 = add(var1, var2), CALL, return(var3)"
2403,Mrs. Hilt bought 6 hot dogs. Each hot dog cost 50 cents. How much money did she pay for all of the hot dogs?,"var1 = find(cost of 1 hot dog), var2 = find(number of hot dogs), var3 = multiply(var1, var2), CALL, return(var3)"
2002,"A full moon occurs every 30 days. If the last full moon occurred on a Friday, how many days will pass before a full moon occurs again on a Friday?","var1 = LCM(30, 7), return(var1)"
1821,"At a store, there are 92 computers. 31 are sold. 20 are shipped away to a company. How many computers are left?","var1 = find(computers sold), var2 = find(computers shipped), var3 = add(var1, var2), CALL, var4 = find(total computers), var5 = subtract(var4, var3), CALL, return(var5)"
2318,Adam has 29 marbles in his collection. Mary has 11 fewer marbles than Adam. Greg has 14 more marbles than Adam. How many marbles does Greg have?,"var1 = find(Adam marbles), var2 = subtract(var1, 11), var3 = add(var1, 14), return(var3)"
2311,"A family is preparing backpacks filled with school supplies to donate to children in need. They have 9 pencils and 15 notebooks. If they want to make all the backpacks the same, with no school supplies left over, what is the greatest number of backpacks they can fill?","var1 = find(pencils), var2 = find(notebooks), var3 = gcd(var1, var2), return(var3)"
254,There are 8 different movies and 21 different books in the ' crazy silly school ' series. If you read 7 of the books and watched 4 of the moviesHow many more movies do you still have to watch?,"var1 = find(movies), var2 = find(movies watched), var3 = subtract(var1, var2), CALL, return(var3)"
1227,"A pet store had seven Siamese cats. If they sold four of them, how many cats did they still have?","var1 = find(Siamese cats), var2 = find(cats sold), var3 = subtract(var1, var2), CALL, return(var3)"
2265,"Another material that he needs is rope. If he already has 6 feet of rope and he needs additional ropes having 5 times the length of what he already have, how long should be the additional rope?","var1 = find(length of rope John has), var2 = find(times longer than the rope John has), var1 = multiply(var1, var2), CALL, return(var1)"
1745,Wendy bought 84 inches of ribbon. She used 46 inches to wrap presents. How much ribbon did Wendy have left?,"var1 = find(ribbon bought), var2 = find(ribbon used), var3 = subtract(var1, var2), CALL, return(var3)"
811,A farm was 7 miles wide and 8 miles long. What is the area of the farm?,"var1 = find(width of farm), var2 = find(length of farm), var1 = multiply(var1, var2), CALL, return(var1)"
589,"Rachel had to complete 2 pages of math homework, 3 pages of reading homework and 10 more pages of biology homework.How many pages did she have to complete in all?","var1 = find(math homework), var2 = find(reading homework), var3 = find(biology homework), var4 = add(var1, var2), var5 = add(var4, var3), CALL, return(var5)"
325,Jake has 7 fewer peaches than Steven and 8 more peaches than Jill. Steven has 17 peaches.How many peaches does Jill have?,"var1 = find(Steven peaches), var2 = find(difference between Steven and Jake), var3 = subtract(var1, var2), var4 = find(difference between Jake and Jill), var5 = subtract(var3, var4), CALL, return(var5)"
606,Julia played tag with some kids on monday. She played tag with 14 kids on tuesday. If she played with a total of 16 kidsHow many kids did she play with on monday?,"var1 = find(kids Julia played tag with), var2 = find(kids she played with on tuesday), var3 = subtract(var1, var2), CALL, return(var3)"
2055,"There are 2 American people, 4 French people and 4 Chinese people a meeting room. 3 of them leave. How many people are left the meeting room?","var1 = find(American people), var2 = find(French people), var3 = add(var1, var2), CALL, var4 = find(Chinese people), var5 = add(var3, var4), CALL, var6 = find(people leaving), var7 = subtract(var5, var6), CALL, return(var7)"
1296,"During Christmas a book store sold 72 books. If the ratio of books to bookmarks sold was 9:2, how many bookmarks did the store sell?","var1 = find(books sold), var2 = divide(var1, 9), var3 = multiply(var2, 2), CALL, return(var3)"
1721,"For the second main course, they were asked to make 500 pieces of fish fillets. If the first team made 189 pieces and the second team made 131 pieces, how many pieces should the third team make?","var1 = find(total pieces of fish fillets needed), var2 = find(pieces made by team 1), var3 = find(pieces made by team 2), var2 = add(var2, var3), CALL, var1 = subtract(var1, var2), CALL, return(var1)"
1645,There are 95 pretzels in a bowl. John ate 28 pretzels. Alan ate 9 fewer pretzels than John. Marcus ate 12 more pretzels than John. How many pretzels did Marcus eat?,"var1 = find(John pretzels), var2 = subtract(var1, 9), var3 = add(var1, 12), return(var3)"
1127,"An ice machine had 294 ice cubes in it. If you were filling up 7 ice chests and each chest got the same number of cubes, how many ice cubes would each chest get?","var1 = find(ice cubes), var2 = find(ice chests), var3 = divide(var1, var2), CALL, return(var3)"
1760,"Last stop in their field trip was the aquarium. Penny identified 35 species of sharks, 15 species of eels and 5 different species of whales. How many species was Penny able to identify?","var1 = find(sharks), var2 = find(eels), var1 = add(var1, var2), CALL, var2 = find(whales), var1 = add(var1, var2), CALL, return(var1)"
1159,"Gwen's class is going on a field trip to the zoo. If each van can hold seven people and there are thirty-three students and nine adults going, how many vans will they need?","var1 = find(students), var2 = find(adults), var1 = add(var1, var2), CALL, var2 = find(people per van), var3 = divide(var1, var2), CALL, return(var3)"
2242,5 boats are in the lake. Each boat has 3 people. How many people are on boats in the lake?,"var1 = find(boats), var2 = find(people per boat), var1 = multiply(var1, var2), CALL, return(var1)"
116,Carol was sending out birthday invitations to 10 friends. If each package of invitations she bought had 2 invitations in itHow many packs does she need so that no friend gets left out?,"var1 = find(friends invited), var2 = divide(var1, 2), CALL, return(var2)"
64,Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower.How many more blocks did he use to build the tower than he did to build the house?,"var1 = find(house blocks), var2 = find(tower blocks), var3 = subtract(var2, var1), CALL, return(var3)"
1090,"Frank was reading a book. He read 2 pages at school, 3 on the bus and 3 at home. How many pages did Frank read? ","var1 = find(school pages), var2 = find(bus pages), var3 = find(home pages), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, return(var5)"
713,Baker made 81 cakes. Then he made 92 more cakes. He sold 46 of them.How many more cakes did baker make than those he sold?,"var1 = find(Initial cakes), var2 = find(Cakes added), var3 = add(var1, var2), CALL, var4 = find(Cakes sold), var5 = sub(var3, var4), CALL, return(var5)"
850,"Nathan is stocking bathrooms at the hotel where he works. He has 18 rolls of toilet paper and 9 bars of soap. If he wants all bathrooms to be stocked identically, with the same combination of supplies in each one and nothing left over, what is the greatest combination of bathrooms Nathan can stock? ","var1 = find(toilet paper), var2 = find(soap bars), var3 = gcd(var1,var2), CALL, return(var3)"
2213,"A company buys 88 bureaus for 14 offices. If each office should get an equal number of bureaus, how many more bureaus are needed at least?","var1 = find(bureaus), var2 = find(offices), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, var6 = subtract(var2, var5), CALL, return(var6)"
507,Baker made 56 pastries and 124 cakes. If he sold 104 cakes and 29 pastriesHow many pastries would baker still have?,"var1 = find(total pastries), var2 = find(total cakes), var3 = add(var1, var2), var4 = find(sold pastries), var5 = find(sold cakes), var6 = subtract(var1, var4), CALL, return(var6)"
1934,Sammy has 9 math problems to do for homework. He has already finished 2 of them. How many math problems does Sammy have left?,"var1 = find(total math problems), var2 = find(completed problems), var3 = subtract(var1, var2), CALL, return(var3)"
1325,"Amy bought 7 pencils at the school store, but she already had 3 pencils. How many pencils does she have totaled?","var1 = find(pencils bought), var2 = find(current pencils), var3 = add(var1, var2), CALL, return(var3)"
173,"A grocery store had 81 bottles of regular soda, 60 bottles of diet soda and 60 bottles of lite soda.How many more bottles of regular soda did they have than diet soda?","var1 = find(regular soda), var2 = subtract(var1, 60), CALL, return(var2)"
603,Winter is almost here and most animals are migrating to warmer countries. 27 bird families flew away for the winter from near a mountain. If there were 41 bird families living near the mountain initiallyHow many bird families were left near the mountain?,"var1 = find(bird families near mountain initially), var2 = find(bird families flew away for winter), var3 = subtract(var1, var2), CALL, return(var3)"
673,A school has 485 pupils. There are 232 girls and the rest are boys.How many boys are there in that school?,"var1 = find(Pupils in school), var2 = find(Girls in school), var1 = sub(var1, var2), CALL, return(var1)"
728,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left.How much more money did she collect at the atm than she spent at the supermarket?,"var1 = find(money Olivia collected from atm), var2 = find(money left in wallet), var3 = find(money in wallet before atm), var3 = subtract(var1, var3), CALL, return(var3)"
1483,While playing a video game Ned lost thirteen lives. Now he has seventy lives. How many lives did Ned have at the start? ,"var1 = find(current lives), var2 = find(lost lives), var3 = add(var1, var2), CALL, return(var3)"
655,Danny collects bottle caps. He threw away 6 of the old ones at the park while he found 50 bottle caps new ones. Now he has 60 bottle caps in his collection.How many more bottle caps did danny find at the park than those he threw away?,"thrown = find(thrown bottle caps), found = find(found bottle caps), collection = find(collection), before_throw = add(thrown, collection), CALL, difference = subtract(found, thrown), CALL, , return(difference)"
1631,"Next, she went to a country full of mountains. There she saw 532 species of insects, reptiles and birds. If she saw 253 insect species and 143 bird species, how many reptile species did she see?","var1 = find(total species seen), var2 = find(insect species seen), var3 = find(bird species seen), var2 = add(var2, var3), CALL, var1 = subtract(var1, var2), CALL, return(var1)"
1118,"Kaleb had sixty-seven cherries. After eating some, he had forty-two left. How many cherries did Kaleb eat? ","var1 = find(total cherries), var2 = find(left cherries), var3 = subtract(var1, var2), CALL, return(var3)"
1359,"Tom read 2 books in May, 6 in June and 10 in July. How many books did Tom read? ","var1 = find(May books), var2 = find(June books), var3 = find(July books), var4 = add(var1, var2), CALL, var5 = add(var4, var3), CALL, return(var5)"
1838,"The following month, the four friends met again to share their collections. Carl, having the most number of stamps among all of them decided to give away some of his collections. If he has 96 stamps during that month, and he gave away 48, how many stamps were left with him?","var1 = find(stamps collected by Carl), var2 = find(stamps given away by Carl), var1 = subtract(var1, var2), CALL, return(var1)"
1867,December is a busy month for the toy store. They had 95 games on the shelf. 68 games were sold the first week. The store got 47 more games from the factory. How many games did they have then?,"var1 = find(games on shelf), var2 = subtract(var1, 68), CALL, var3 = add(var2, 47), CALL, return(var3)"
148,Allan brought 2 balloons to the park and then bought 3 more balloons there. If Jake brought 6 balloons to the parkHow many more balloons did Jake have than Allan in the park?,"var1 = find(Allan balloons), var2 = add(var1, 3), CALL, var3 = find(Jake balloons), var4 = subtract(var3, var2), CALL, return(var4)"
2347,There were 28 girls and 35 boys on the playground at recess. How many children were there in all?,"var1 = find(girls on playground), var2 = find(boys on playground), var3 = add(var1, var2), CALL, return(var3)"
1990,"Sam cut equal-length pieces of ribbon from a 3,730-cm long ribbon. If each piece was 73 cm long, how many 73 cm pieces of ribbon did Sam make?","var1 = find(ribbon length), var2 = find(piece length), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, return(var3)"
906,"A video game map was 10 meters wide and 2 meters long, what is the area of the map?","var1 = find(length of video game map), var2 = find(width of video game map), var1 = multiply(var1, var2), CALL, return(var1)"
2026,"Aside from drawing animals, Shiela is fond of painting flowers. If she has 18 paintings of flowers, how many paintings can she give to each of her two grandmothers?","var1 = find(paintings), var2 = find(grandmothers), var1 = divide(var1, var2), CALL, return(var1)"
754,On Facebook Debby had sixty-three photos of her friends and twenty-three photos of her family. How many photos did she have total?,"var1 = find(friend photos), var2 = find(family photos), var1 = add(var1, var2), CALL, return(var1)"
423,He then went to see the oranges being harvested. He found out that they harvest 25 sacks of unripe oranges and 5 sacks of ripe oranges per day.How many sacks of ripe oranges will they have after 73 days of harvest?,"var1 = find(ripe oranges per day), var2 = find(days of harvest), var3 = multiply(var1, var2), CALL, return(var3)"
2334,"Shiela was into history of Asia. She can read 11 pages per hour of the book entitled ""Asia's History Made Easy"". If the encyclopedia has 143 pages, how many hours did it take Shiela to finish reading the book?","var1 = find(book pages), var2 = find(pages read per hour), var1 = divide(var1, var2), CALL, return(var1)"
1400,"Debby owned thirteen DVDs. If she sold six of them, how many would she have left? ","var1 = find(total DVDs), var2 = find(sold DVDs), var3 = subtract(var1, var2), CALL, return(var3)"
671,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 36 inches. The frog jumped 17 inches farther than the grasshopper and the mouse jumped 15 inches farther than the frog.How far did the frog jump?","var1 = find(Grasshopper jump), var2 = find(Frog jump difference), var1 = add(var1, var2), CALL, var3 = find(Mouse jump difference), var2 = add(var1, var3), CALL, return(var1)"
2149,Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,"var1 = find(Daniel has noodles), var2 = find(gave to William), var3 = add(var1, var2), CALL, return(var3)"
1226,"The school cafeteria serves tacos every sixth day and cheeseburgers every eighth day. If tacos and cheeseburgers are both on today's menu, how many days will it be before they are both on the menu again?","var1 = find(tacos every sixth day), var2 = find(cheeseburgers every eighth day), var3 = lcm(var1,var2), CALL, return(var3)"
581,Rachel picked 6 ripe apples from her tree. Now the tree has 2 ripe apples and 4 unripe apples.How many apples did the tree have to begin with?,"var1 = find(ripe apples picked), var2 = find(ripe apples on the tree), var3 = find(unripe apples on the tree), var4 = add(var2, var3), var5 = add(var4, var1), CALL, return(var5)"
102,Matthew gave equal numbers of crackers and cakes to his 4 friends. If he had 10 crackers and 8 cakes initiallyHow many cakes did each person eat?,"var1 = find(total crackers), var2 = subtract(var1, 4), CALL, var3 = find(total cakes), var4 = subtract(var3, 4), CALL, var5 = divide(var4, 2), CALL, return(var5)"
2170,"Katie spent a total $350.00 on her whole stay in the island. If she spent $125.00 on food and $135.00 on hotel rooms, how much did she spend on buying other stuff?","var1 = find(total money spent), var2 = find(money spent on food), var3 = find(money spent on hotel rooms), var2 = add(var2, var3), CALL, var1 = subtract(var1, var2), CALL, return(var1)"
1311,Jerry had 8 action figures on a shelf in his room. Later he added 2 more figures to the shelf. How many action figures were on his shelf total?,"var1 = find(starting figures), var2 = find(figures added), var3 = add(var1, var2), CALL, return(var3)"
2388,"During a road trip, Lester stopped at two rest stops. In the parking lot of the first rest stop, he counted 20 cars and 18 trucks. At the second rest stop, he counted 17 cars and 16 trucks. At which rest stop did Lester count a higher ratio of cars to trucks?","Sorry, I am an AI language model that can perform arithmetic operations and answer factual questions, but I am not capable of determining at which rest stop Lester counted a higher ratio of cars to trucks."
159,There are 62 different movies and 19 different books in the ' crazy silly school ' series. If you read 4 of the books and watched 34 of the moviesHow many more books do you still have to read?,"var1 = find(books), var2 = subtract(var1, 4), CALL, var3 = find(movies), var4 = subtract(var3, 34), CALL, return(var2)"
2307,Josh had 16 marbles in his collection. He lost 7 marbles. How many marbles does he have now?,"var1 = find(Josh's marbles), var2 = find(marbles lost), var3 = subtract(var1, var2), CALL, return(var3)"
422,Paige was helping her mom plant flowers in 8 flowerbeds. They planted 32 seeds altogether. If they put same number of seeds in each flower bedHow many seeds did they plant in each flowerbed?,"var1 = find(total seeds), var2 = find(flower beds), var3 = divide(var1, var2), CALL, return(var3)"
2351,Mr. Guzman bought 48 doughnuts packed equally into 4 boxes. How many doughnuts were in each box?,"var1 = find(doughnuts), var2 = find(boxes), var3 = divide(var1, var2), CALL, return(var3)"
1482,"Robin had 30 songs on her mp3 player. If she deleted 8 old songs from it and then added 10 new songs, how many songs does she have on her mp3 player?","var1 = find(Robin's songs), var2 = find(deleted songs), var1 = subtract(var1, var2), CALL, var2 = find(newly added songs), var1 = add(var1, var2), CALL, return(var1)"
1396,Audrey has 26 peaches. Paul has 48 peaches. What's the difference of the number of Audrey's peaches and Paul's peaches?,"var1 = find(""Audrey peaches""), var2 = find(""Paul peaches""), var3 = sub(var2, var1), return(var3)"
2221,"Haley has 63 magazines in her cabinet. She plans to send it to the recycling office in their area. If she places it in boxes which can contain 9 magazines, how many boxes will she use?","var1 = find(magazines), var2 = find(magazines per box), var1 = divide(var1, var2), CALL, return(var1)"
409,2 children were riding on the bus. At the bus stop some more children got on the bus. Then there were 10 children altogether on the bus.How many more children are on the bus now than there were before the bus stop?,"var1 = find(total number of children on bus), var2 = find(number of children before bus stop), var3 = subtract(var1, var2), CALL, return(var3)"
1447,"Virginia has 40 bananas and 4 marbles. If she shares the bananas among 40 friends, how many bananas does each friend get?","var1 = find(bananas), var2 = find(friends), var3 = divide(var1, var2), CALL, var4 = multiply(var3, var2), CALL, var5 = subtract(var1, var4), CALL, return(var3)"
1443,"There are 40 girls and 32 boys who want to participate in 6th grade intramurals. If each team must have the same number of girls and the same number of boys, what is the greatest number of teams that can participate in intramurals?","var1 = find(""girls""), var2 = find(""boys""), var3 = find_gcd(var1, var2), return(var3)"
1327,"A farmer had seventeen tomatoes from his garden. If he picked nine of them, what's the difference between the number of tomatoes before picking and he picked?","var1 = find(Tomatoes before picking), var2 = find(Tomatoes picked), var1 = subtract(var1, var2), CALL, return(var1)"
1060,"Each chocolate bar in a box cost $3. If a box had 9 bars total and Wendy sold all but 3 bars, how much money would she have made?","var1 = find(bars), var2 = find(left bars), var3 = subtract(var1, var2), CALL, var4 = find(dollars per bar), var5 = multiply(var3, var4), CALL, return(var5)"
340,46 campers went rowing on a day. 43 campers went rowing in the morning and some more campers went rowing in the afternoon.How many campers went rowing in the afternoon?,"var1 = find(total rowing campers), var2 = find(morning rowing campers), var3 = subtract(var1, var2), CALL, return(var3)"
2005,"Rob is very fond of tall structures. He likes collecting pictures and comparing them. Two of his favorite buildings are Chicago's Sears Tower and Dubai's Burj Khalifa. If Burj Khalifa stands at 830 meters high and Sears stands at 527 meters high, how much higher is Burj Khalifa than Sears?","var1 = find(height of Burj Khalifa), var2 = find(height of Sears Tower), var1 = subtract(var1, var2), CALL, return(var1)"
1318,"There are 820 blocks in Bridget's block collection. If the blocks are organized into 82 groups, how big is each group?","var1 = find(blocks), var2 = find(group size), var3 = divide(var1, var2), CALL, var4 = multiply(var3, var2), CALL, var5 = subtract(var1, var4), CALL, return(var3)"
31,Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flourHow many cups of flour did she put in?,"var1 = find(flour needed), var2 = find(flour still needed), var3 = subtract(var1, var2), CALL, return(var3)"
1583,"After New York, she decided to visit the Smithsonian in Washington DC. If she has 63 miniature aircrafts and she gave away 49 to the National Air and Space Museum, how many are left with her?","var1 = find(total number of miniature aircrafts originally in collection), var2 = find(aircrafts given away), var1 = subtract(var1, var2), CALL, return(var1)"
1288,Lemon heads come in packages of 5. Ann ate 78 Lemon Heads. How many Lemon Heads does she have left?,"var1 = find(""Lemon Heads""), var2 = find(""package size""), var3 = mod(var1, var2), return(var3)"
282,Rachel had to complete 5 pages of math homework and 2 pages of reading homework.How many more pages of math homework than reading homework did she have?,"var1 = find(math homework pages), var2 = find(reading homework pages), var3 = subtract(var1, var2), CALL, return(var3)"
644,In Haley's class 11 are boys who love to play marbles. If Haley gives 9 marbles to each boyHow many marbles did she have?,"var1 = find(boys who love playing marbles), var2 = find(marbles given to each boy), var3 = multiply(var1, var2), CALL, return(var3)"
297,For Gwen's birthday she received 8 dollars from her mom. Her dad gave her 5 more dollars. If she spent 4 dollars.How much more money did she receive from her mom than she did from her dad?,"var1 = find(money received from mom), var2 = find(money received from dad), var3 = add(var1, var2), var4 = subtract(var3, 4), var5 = subtract(var1, 5), CALL, return(var5)"
721,After resting they decided to go for a swim. The depth of the water is 9 times Dean's height. If Ron is 15 feet tall and Dean is 6 feet shorter than RonHow deep was the water?,"var1 = find(Ron height), var2 = find(Dean height difference), var3 = sub(var1, var2), CALL, var4 = find(Water depth ratio), var5 = mult(var3, var4), CALL, return(var5)"
546,He had a total of 40 saltwater animals in different aquariums. Each aquarium has 2 animals in it.How many aquariums did he have?,"var1 = find(total animals), var2 = find(animals per aquarium), var3 = divide(var1, var2), CALL, return(var3)"
1779,It takes 4 feet of cotton to make a tee-shirt. How many tee-shirts can be made with 60 feet of material?,"var1 = find(total feet of material), var2 = find(feet per tee-shirt), var3 = divide(var1, var2), CALL, return(var3)"
1662,"She also decided to contribute to the collection of the Museum of Natural History. After donating some of her bug collection, she was left with 39 bug species. If she originally has 98 bug species, how many did she donate?","var1 = find(total number of bug species originally in collection), var2 = find(bug species left after donation), var1 = subtract(var1, var2), CALL, return(var1)"
2282,"After agreeing that the school menu needs to be changed, they had a vote for food suggestions. If 337 voted to add more veggies to the menu and 335 voted to add more meat, how many students voted?","var1 = find(veggie votes), var2 = find(meat votes), var1 = add(var1, var2), CALL, return(var1)"
413,During summer break 819058 kids from Lawrence county go to camp and the other 668278 kids stay home.How many more kids spent their summer break at the camp compared to those who stayed home?,"var1 = find(kids at camp), var2 = find(kids stayed home), var3 = subtract(var1, var2), CALL, return(var3)"
90,Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homeworkHow many pages of reading homework did she have to complete?,"var1 = find(math homework), var2 = subtract(var1, 4), CALL, return(var2)"
2327,"A worker needs to cut a 27-yard long rope into some long pieces at 4 yard each and some short pieces at 1 yard each. In order to make the least number of pieces, how many short pieces should be cut for?","var1 = find(total length of rope), var2 = find(long piece length), var3 = divide(var1, var2), CALL, var3 = round_down(var3), CALL, var4 = multiply(var2, var3), CALL, var5 = subtract(var1, var4), CALL, return(var5)"
1866,Our class got fifty-four books from the library. Then we got twenty-three more books from the library. How many books did our class get from the library?,"var1 = find(class books from library), var2 = find(more books from library), var3 = add(var1, var2), CALL, return(var3)"
